t,win_rate,cash,debt,case,ω,ρ
0,0.5,1,0,Case A ,0.3,0.4
1,0.526,0.931732222,0.22,Case A ,0.6,0.2
2,0.519,1.35084949,0.179236124,Case A ,0.3,0.4
3,0.5245,1.641497851,0.118932622,Case A,0.3,0.4
4,0.5168,1.725446238,0.098649351,Case A ,0.3,0.4
0,0.5,1,0,Case B ,0.3,0.4
1,0.528,1.0507275,0.19,Case B ,0.6,0.2
2,0.512,1.474105376,0.17834002,Case B ,0.3,0.4
3,0.507,1.658574601,0.157692142,Case B ,0.3,0.4
4,0.515,1.830938784,0.121499344,Case B ,0.3,0.4
0,0.5,1,0,Case C ,0.3,0.4
1,0.516,0.950782222,0.15,Case C,0.6,0.2
2,0.502,1.44567759,0.131760333,Case C ,0.3,0.4
3,0.512,1.61974069,0.123428501,Case C ,0.3,0.4
4,0.523,1.939021463,0.082801925,Case C ,0.3,0.4
