player_id,Total_Score,Delta_Reach_Avg,rank
LaMelo Ball,0.0010180473002840486,0.054219644033043565,1
Victor Wembanyama,0.00045898429669556884,0.03847718099474791,2
Kyrie Irving,0.0003481410577321285,0.029965276691315143,3
Brandon Ingram,0.0003302504452648521,0.03162046275176131,4
Jimmy Butler,0.00019680201765051044,0.021238445245804816,5
Rudy Gobert,0.00016582918920039747,0.017829699476457447,6
Klay Thompson,0.00011901612384398535,0.015633149784823996,7
Jerami Grant,0.0001090673037296988,0.013003194079315494,8
Zach LaVine,5.666167287867374e-05,0.00903947097838903,9
Trae Young,5.244915291590529e-05,0.007269729354706045,10
