player_id,Total_Score,Delta_Reach_Avg,rank,baseline_rank,rank_change
LaMelo Ball,0.002116981334271119,0.054219644033043565,1,1,0
Victor Wembanyama,0.0006312483926500613,0.03847718099474791,2,2,0
Kyrie Irving,0.0004713914771005785,0.029965276691315143,3,3,0
Brandon Ingram,0.00042628117524728167,0.03162046275176131,4,4,0
Jimmy Butler,0.0002590149735571546,0.021238445245804816,5,5,0
Rudy Gobert,0.00022842737883054694,0.017829699476457447,6,6,0
Klay Thompson,0.00015190902168597215,0.015633149784823996,7,7,0
Jerami Grant,0.00013224838804118584,0.013003194079315494,8,8,0
Zach LaVine,7.70069830884353e-05,0.00903947097838903,9,9,0
Trae Young,7.161410717442966e-05,0.007269729354706045,10,10,0
