player_id,Total_Score,Delta_Reach_Avg,rank,baseline_rank,rank_change
LaMelo Ball,0.0011525276380189127,0.054219644033043565,1,1,0
Victor Wembanyama,0.0005436382440417763,0.03847718099474791,2,2,0
Brandon Ingram,0.0004448969833740779,0.03162046275176131,3,4,1
Kyrie Irving,0.00039998738135118065,0.029965276691315143,4,3,-1
Jimmy Butler,0.0002356659115047663,0.021238445245804816,5,5,0
Rudy Gobert,0.00021665360328001766,0.017829699476457447,6,6,0
Klay Thompson,0.00014616337601432023,0.015633149784823996,7,7,0
Jerami Grant,0.0001436640983125143,0.013003194079315494,8,8,0
Zach LaVine,6.582556958619768e-05,0.00903947097838903,9,9,0
Trae Young,6.071440240700554e-05,0.007269729354706045,10,10,0
