player_id,Total_Score,Delta_Reach_Avg,rank,baseline_rank,rank_change
LaMelo Ball,0.0024832333991060725,0.054219644033043565,1,1,0
Victor Wembanyama,0.0006417840475928192,0.03847718099474791,2,2,0
Kyrie Irving,0.000520730230911025,0.029965276691315143,3,3,0
Brandon Ingram,0.0004401101390569703,0.03162046275176131,4,4,0
Jimmy Butler,0.00029793944118296846,0.021238445245804816,5,5,0
Rudy Gobert,0.00020402029138043564,0.017829699476457447,6,6,0
Klay Thompson,0.00017814916472091977,0.015633149784823996,7,7,0
Jerami Grant,0.0001645398704111911,0.013003194079315494,8,8,0
Zach LaVine,8.383519890061248e-05,0.00903947097838903,9,9,0
Trae Young,7.820386249108537e-05,0.007269729354706045,10,10,0
