t,win_rate,cash,debt,case
0,0.5,1,0,Case A
1,0.501,1.254564,0.19,Case A
2,0.505,1.123247,0.179236124,Case A
3,0.504,1.321497851,0.158932622,Case A
4,0.507,1.425446238,0.128649351,Case A
0,0.5,1,0,Case B
1,0.514,1.0007275,0.184,Case B
2,0.502,1.274105376,0.17434002,Case B
3,0.489,1.458574601,0.137692142,Case B
4,0.497,1.830938784,0.11499344,Case B
0,0.5,1,0,Case C
1,0.506,0.950782222,0.14,Case C
2,0.509,1.44567759,0.121760333,Case C
3,0.523,1.61974069,0.113428501,Case C
4,0.512,1.939021463,0.072801925,Case C
