t,win_rate,cash,debt,case,ω,ρ
0,0.5,1,0,Case A ,0.3,0.4
1,0.476,1.3317322222222223,0.22000000000000002,Case A ,0.3,0.4
2,0.495,1.4508494895415318,0.17923612433799965,Case A ,0.3,0.4
3,0.485,1.5414978508456776,0.16893262219928692,Case A,0.3,0.4
4,0.476,1.6254462378216887,0.15864935128798622,Case A ,0.3,0.4
0,0.5,1,0,Case B ,0.3,0.4
1,0.486,1.3507275,0.19000000000000003,Case B ,0.3,0.4
2,0.468,1.474105375771002,0.1783400201579302,Case B ,0.3,0.4
3,0.495,1.5585746005440018,0.1676921417356873,Case B ,0.3,0.4
4,0.486,1.6309387843202112,0.1614993439269976,Case B ,0.3,0.4
0,0.5,1,0,Case C ,0.3,0.4
1,0.516,1.3507822222222223,0.15,Case C,0.3,0.4
2,0.502,1.445677589742595,0.15176033324568118,Case C ,0.3,0.4
3,0.495,1.5197406901073562,0.14342850109999548,Case C ,0.3,0.4
4,0.501,1.639021463101073,0.14280192506511916,Case C ,0.3,0.4
