group,season,policy,decision_x,decision_L
forecast_experiment,1,Model(MPC),0.638,0.156
forecast_experiment,1,Baseline-Zero,0,0
forecast_experiment,1,Baseline-MaxXL,1,3
forecast_experiment,1,Baseline-Random,0.8887593573530179,2.882133682591727
forecast_experiment,1,Baseline-Random2,0.2946297495618321,2.643476766264496
forecast_experiment,1,Baseline-Random3,0.640203017,0.8727188369918075
forecast_experiment,2,Model(MPC),1,0.3
forecast_experiment,2,Baseline-Zero,0,0
forecast_experiment,2,Baseline-MaxXL,1,3
forecast_experiment,2,Baseline-Random,0.2946297495618321,2.643476766264496
forecast_experiment,2,Baseline-Random2,0.640203017,0.8727188369918075
forecast_experiment,2,Baseline-Random3,0.7177470022139477,1.4516126934135756
forecast_experiment,3,Model(MPC),0.9,0.6
forecast_experiment,3,Baseline-Zero,0,0
forecast_experiment,3,Baseline-MaxXL,1,3
forecast_experiment,3,Baseline-Random,0.640203017,0.8727188369918075
forecast_experiment,3,Baseline-Random2,0.7177470022139477,1.4516126934135756
forecast_experiment,3,Baseline-Random3,0.871976366,1.6772148632231518
forecast_experiment,4,Model(MPC),0.8500000000000001,0.4
forecast_experiment,4,Baseline-Zero,0,0
forecast_experiment,4,Baseline-MaxXL,1,3
forecast_experiment,4,Baseline-Random,0.7177470022139477,1.4516126934135756
forecast_experiment,4,Baseline-Random2,0.871976366,1.6772148632231518
forecast_experiment,4,Baseline-Random3,0.7598718817795257,1.4468839082487328
forecast_experiment,5,Model(MPC),0.6,0
forecast_experiment,5,Baseline-Zero,0,0
forecast_experiment,5,Baseline-MaxXL,1,3
forecast_experiment,5,Baseline-Random,0.871976366,1.6772148632231518
forecast_experiment,5,Baseline-Random2,0.7598718817795257,1.4468839082487328
forecast_experiment,5,Baseline-Random3,0.8951575103386775,2.057856086704406
