policy,season,W,P,C
Model(MPC),1,0.42346739130434785,0.5,1.0
Model(MPC),2,0.3387739130434783,0.4846934782608696,0.6636470984639296
Model(MPC),3,0.3871418891304348,0.4555095652173914,0.9121238768923394
Model(MPC),4,0.4645702669565217,0.5010605217391305,1.376358685711102
Model(MPC),5,0.557484320347826,0.5511665739130436,1.8133395958908645
Baseline-Zero,1,0.42346739130434785,0.5,1.0
Baseline-Zero,2,0.2244145565424221,0.407343822626815,0.9667697707805354
Baseline-Zero,3,0.16455410854411914,0.3563437698668365,1.3010559664339816
Baseline-Zero,4,0.13183692781477846,0.279913867249616,1.5817343117913447
Baseline-Zero,5,0.0,0.2750020408112192,1.8133086210296747
Baseline-MaxXL,1,0.42346739130434785,0.5,1.0
Baseline-MaxXL,2,0.5896858794146287,0.406394874280942,0.4069006479191444
Baseline-MaxXL,3,0.5698867266824786,0.48281246449164916,-1.1709984275153502
Baseline-MaxXL,4,0.5910337850031411,0.4981491585257476,-2.6947727883486183
Baseline-MaxXL,5,0.5391918017632423,0.5791839884232741,-4.245330084685341
Baseline-Random,1,0.42346739130434785,0.5,1.0
Baseline-Random,2,0.3387739130434783,0.49579555597133107,1.0680066237696104
Baseline-Random,3,0.3280912646257639,0.4980468919189999,0.5308381135570361
Baseline-Random,4,0.408597819260261,0.39850909929703426,0.052520489798965175
Baseline-Random,5,0.43332010844774627,0.45268066403941737,-0.4522655045456042
Baseline-Random2,1,0.42346739130434785,0.5,1.0
Baseline-Random2,2,0.3387739130434783,0.5015070943454155,0.8521577980384838
Baseline-Random2,3,0.31755453162957864,0.4625256904351766,-0.16770664653828293
Baseline-Random2,4,0.40833273070025466,0.526500518436434,-1.2014229760282733
Baseline-Random2,5,0.5122949605447348,0.5111534689900459,-1.928218209930549
Baseline-Random3,1,0.42346739130434785,0.5,1.0
Baseline-Random3,2,0.3387739130434783,0.4795596590451437,1.0596705230242662
Baseline-Random3,3,0.3076244869871385,0.35910969467344234,0.4780708365232681
Baseline-Random3,4,0.36892379421572985,0.3552079275046677,-0.224070203419517
Baseline-Random3,5,0.47475768628208875,0.2839186609331124,-0.7097121999404342
