,SDG4,SDG6,SDG17,SDG5,SDG9,SDG1,SDG3,SDG7,SDG8,SDG10,SDG11,SDG2,SDG13,SDG12,SDG15,SDG16,SDG14
SDG4,0.0,1.0,1.0,0.9939209163101398,0.987878787878788,0.9604907590145022,0.9604907590145022,0.930095481830499,0.6626170426112705,-0.2848484848484848,-0.4255338805760452,-0.6200636545536659,-0.6727272727272727,-0.7439162686493069,-0.9438798074485388,-0.9438798074485388,-0.9272727272727274
SDG6,1.0,0.0,1.0,0.9939209163101398,0.987878787878788,0.9604907590145022,0.9604907590145022,0.930095481830499,0.6626170426112705,-0.2848484848484848,-0.4255338805760452,-0.6200636545536659,-0.6727272727272727,-0.7439162686493069,-0.9438798074485388,-0.9438798074485388,-0.9272727272727274
SDG17,1.0,1.0,0.0,0.9939209163101398,0.987878787878788,0.9604907590145022,0.9604907590145022,0.930095481830499,0.6626170426112705,-0.2848484848484848,-0.4255338805760452,-0.6200636545536659,-0.6727272727272727,-0.7439162686493069,-0.9438798074485388,-0.9438798074485388,-0.9272727272727274
SDG5,0.9939209163101398,0.9939209163101398,0.9939209163101398,0.0,0.9939209163101398,0.9541329019028172,0.9541329019028172,0.9327260739755104,0.6513791926451924,-0.2561023219940237,-0.3944972575175109,-0.6177398916165674,-0.6463534793182504,-0.7576687116564417,-0.9496528264568824,-0.9496528264568824,-0.9390418473114204
SDG9,0.987878787878788,0.987878787878788,0.987878787878788,0.9939209163101398,0.0,0.9483326481409008,0.9483326481409008,0.9604907590145022,0.6200636545536659,-0.2484848484848484,-0.3708223816448394,-0.5896683773696627,-0.6,-0.7805023146484533,-0.9438798074485388,-0.9438798074485388,-0.9636363636363636
SDG1,0.9604907590145022,0.9604907590145022,0.9604907590145022,0.9541329019028172,0.9483326481409008,0.0,1.0,0.8902439024390244,0.5487804878048781,-0.3647433262080388,-0.4786585365853659,-0.5792682926829269,-0.705170430668875,-0.6269142464425561,-0.8565861529340607,-0.8565861529340607,-0.8875420937728944
SDG3,0.9604907590145022,0.9604907590145022,0.9604907590145022,0.9541329019028172,0.9483326481409008,1.0,0.0,0.8902439024390244,0.5487804878048781,-0.3647433262080388,-0.4786585365853659,-0.5792682926829269,-0.705170430668875,-0.6269142464425561,-0.8565861529340607,-0.8565861529340607,-0.8875420937728944
SDG7,0.930095481830499,0.930095481830499,0.930095481830499,0.9327260739755104,0.9604907590145022,0.8902439024390244,0.8902439024390244,0.0,0.4451219512195122,-0.1155020532992122,-0.2225609756097561,-0.600609756097561,-0.4620082131968491,-0.7553552140063968,-0.8791278938007465,-0.8791278938007465,-0.9787279253249042
SDG8,0.6626170426112705,0.6626170426112705,0.6626170426112705,0.6513791926451924,0.6200636545536659,0.5487804878048781,0.5487804878048781,0.4451219512195122,0.0,-0.4498501023232478,-0.603658536585366,-0.25,-0.7659609850368815,-0.4862408057773971,-0.7889609303340033,-0.7889609303340033,-0.4255338805760452
SDG10,-0.2848484848484848,-0.2848484848484848,-0.2848484848484848,-0.2561023219940237,-0.2484848484848484,-0.3647433262080388,-0.3647433262080388,-0.1155020532992122,-0.4498501023232478,0.0,0.772040040473682,0.0972648869888103,0.4545454545454545,-0.0792697663314835,0.2247332874877473,0.2247332874877473,0.0909090909090909
SDG11,-0.4255338805760452,-0.4255338805760452,-0.4255338805760452,-0.3944972575175109,-0.3708223816448394,-0.4786585365853659,-0.4786585365853659,-0.2225609756097561,-0.603658536585366,0.772040040473682,0.0,0.4115853658536585,0.6869332643584731,0.1834870965197725,0.4057513356003445,0.4057513356003445,0.2127669402880226
SDG2,-0.6200636545536659,-0.6200636545536659,-0.6200636545536659,-0.6177398916165674,-0.5896683773696627,-0.5792682926829269,-0.5792682926829269,-0.600609756097561,-0.25,0.0972648869888103,0.4115853658536585,0.0,0.4194548251392446,0.3730904295902041,0.5635435216671452,0.5635435216671452,0.5714312110592608
SDG13,-0.6727272727272727,-0.6727272727272727,-0.6727272727272727,-0.6463534793182504,-0.6,-0.705170430668875,-0.705170430668875,-0.4620082131968491,-0.7659609850368815,0.4545454545454545,0.6869332643584731,0.4194548251392446,0.0,0.2500046476608327,0.7191465199607915,0.7191465199607915,0.3939393939393939
SDG12,-0.7439162686493069,-0.7439162686493069,-0.7439162686493069,-0.7576687116564417,-0.7805023146484533,-0.6269142464425561,-0.6269142464425561,-0.7553552140063968,-0.4862408057773971,-0.0792697663314835,0.1834870965197725,0.3730904295902041,0.2500046476608327,0.0,0.746155792216122,0.746155792216122,0.8353813836471726
SDG15,-0.9438798074485388,-0.9438798074485388,-0.9438798074485388,-0.9496528264568824,-0.9438798074485388,-0.8565861529340607,-0.8565861529340607,-0.8791278938007465,-0.7889609303340033,0.2247332874877473,0.4057513356003445,0.5635435216671452,0.7191465199607915,0.746155792216122,0.0,1.0,0.85398649245344
SDG16,-0.9438798074485388,-0.9438798074485388,-0.9438798074485388,-0.9496528264568824,-0.9438798074485388,-0.8565861529340607,-0.8565861529340607,-0.8791278938007465,-0.7889609303340033,0.2247332874877473,0.4057513356003445,0.5635435216671452,0.7191465199607915,0.746155792216122,1.0,0.0,0.85398649245344
SDG14,-0.9272727272727274,-0.9272727272727274,-0.9272727272727274,-0.9390418473114204,-0.9636363636363636,-0.8875420937728944,-0.8875420937728944,-0.9787279253249042,-0.4255338805760452,0.0909090909090909,0.2127669402880226,0.5714312110592608,0.3939393939393939,0.8353813836471726,0.85398649245344,0.85398649245344,0.0
