年份 \ SDG 标签,R0,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16
2015 (0),1.0,6.0,1.0,1,1.0,1,1.0,4.5,1,6,3.0,8.0,7,10,9.0,9.0,1
2016 (1),2.0,7.0,2.0,2,2.0,2,2.0,3.0,2,2,6.0,9.0,9,9,9.0,9.0,2
2017 (2),5.0,10.0,5.0,3,3.0,3,3.0,2.0,3,5,7.0,10.0,6,8,9.0,9.0,3
2018 (3),3.5,9.0,3.5,4,4.0,4,4.0,6.0,4,9,8.0,4.0,5,7,5.5,5.5,4
2019 (4),3.5,8.0,3.5,5,5.0,5,5.0,7.0,5,8,9.5,5.5,8,6,5.5,5.5,5
2020 (5),6.0,3.5,6.0,6,6.5,6,8.5,1.0,7,10,9.5,2.5,10,2,5.5,5.5,6
2021 (6),7.0,1.0,7.0,7,6.5,7,6.0,4.5,6,7,5.0,5.5,4,5,5.5,5.5,7
2022 (7),8.0,2.0,8.0,8,8.0,8,8.5,8.0,8,4,4.0,7.0,1,4,2.0,2.0,8
2023 (8),9.0,3.5,9.0,9,9.5,9,7.0,10.0,9,3,2.0,2.5,2,3,2.0,2.0,9
2024 (9),10.0,5.0,10.0,10,9.5,10,10.0,9.0,10,1,1.0,1.0,3,1,2.0,2.0,10
