年份 \ SDG 标签,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
2015 (0),0.125,0.077,0.0437,0.532,0.319,0.677,0.156,0.142,0.0172,6480,0.25,100.0,503.3,0.667,0.313,5.92,61.4
2016 (1),0.117,0.076,0.0424,0.542,0.323,0.683,0.158,0.143,0.0173,8020,0.246,99.1,460.5,0.663,0.313,5.97,69.5
2017 (2),0.111,0.071,0.0413,0.55,0.327,0.689,0.16,0.144,0.0175,6900,0.245,98.7,545.2,0.659,0.313,5.9,77.6
2018 (3),0.112,0.073,0.0402,0.558,0.331,0.694,0.163,0.141,0.0178,4800,0.244,104.0,630.5,0.652,0.312,5.65,85.7
2019 (4),0.112,0.075,0.0395,0.565,0.335,0.7,0.166,0.137,0.0183,5290,0.242,102.0,501.7,0.646,0.312,5.4,93.8
2020 (5),0.11,0.085,0.0387,0.572,0.339,0.705,0.179,0.155,0.0194,4410,0.242,110.0,372.9,0.635,0.312,5.29,105.0
2021 (6),0.105,0.088,0.0382,0.579,0.339,0.711,0.176,0.142,0.0192,5780,0.247,102.0,755.4,0.645,0.312,5.51,116.0
2022 (7),0.102,0.087,0.0382,0.582,0.343,0.716,0.179,0.13,0.0195,7140,0.248,101.0,1529.2,0.641,0.311,5.29,121.0
2023 (8),0.099,0.085,0.0367,0.59,0.355,0.721,0.177,0.125,0.0198,7920,0.251,110.0,1146.9,0.637,0.311,5.3,127.0
2024 (9),0.096,0.082,0.0365,0.596,0.355,0.737,0.183,0.126,0.0202,9100,0.255,114.3,860.2,0.633,0.311,5.31,134.4
MAX,0.125,0.088,0.0437,1.0,0.5,1.0,0.2,0.155,0.03,9100,0.255,114.3,1529.2,1.0,0.32,5.97,200.0
MIN,0.0,0.0,0.025,0.532,0.319,0.677,0.156,0.05,0.0172,0,0.0,90.0,0.0,0.633,0.311,0.5,61.4
