年份 \ SDG 标签,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
2015 (0),0.0,12.499999999999996,0.0,0.0,0.0,0.0,0.0,12.380952380952392,0.0,28.79120879120879,1.960784313725492,58.8477366255144,67.08736594297673,9.264305177111725,22.22222222222222,0.9140767824497225,0.0
2016 (1),6.399999999999995,13.636363636363633,6.399999999999995,2.136752136752139,2.2099447513812174,1.8575851393188874,4.5454545454545485,11.42857142857144,0.7812499999999953,11.868131868131867,3.529411764705885,62.551440329218124,69.88621501438661,8.174386920980933,22.22222222222222,0.0,5.844155844155845
2017 (2),11.2,19.31818181818182,11.2,3.84615384615385,4.419889502762435,3.71517027863774,9.090909090909097,10.476190476190487,2.3437500000000133,24.175824175824175,3.921568627450984,64.19753086419752,64.34737117447031,7.084468664850142,22.22222222222222,1.279707495429605,11.688311688311686
2018 (3),10.399999999999999,17.045454545454547,10.399999999999999,5.555555555555561,6.6298342541436535,5.263157894736813,15.90909090909092,13.333333333333346,4.687499999999999,47.25274725274725,4.313725490196082,42.38683127572016,58.76929113261836,5.177111716621258,11.11111111111111,5.850091407678234,17.532467532467535
2019 (4),10.399999999999999,14.77272727272727,10.399999999999999,7.051282051282034,8.83977900552487,7.1207430340557005,22.72727272727274,17.14285714285713,8.593750000000004,41.86813186813187,5.098039215686279,50.61728395061728,67.19199581480513,3.542234332425071,11.11111111111111,10.420475319926863,23.376623376623375
2020 (5),12.0,3.4090909090908963,12.0,8.547008547008533,11.049723756906088,8.668730650154775,52.27272727272724,0.0,17.187500000000007,51.53846153846153,5.098039215686279,17.695473251028798,75.6147004969919,0.5449591280653956,11.11111111111111,12.431444241316266,31.45743145743146
2021 (6),16.000000000000004,0.0,16.000000000000004,10.042735042735028,11.049723756906088,10.52631578947366,45.45454545454542,12.380952380952392,15.62499999999999,36.48351648351648,3.137254901960787,50.61728395061728,50.60162176301334,3.2697547683923736,11.11111111111111,8.409506398537477,39.3939393939394
2022 (7),18.400000000000006,1.1363636363636374,18.400000000000006,10.68376068376067,13.259668508287307,12.074303405572733,52.27272727272724,23.809523809523807,17.96875,21.53846153846154,2.7450980392156885,54.73251028806584,0.0,2.1798365122615824,0.0,12.431444241316266,43.001443001443
2023 (8),20.799999999999997,3.4090909090908963,20.799999999999997,12.393162393162381,19.889502762430926,13.622291021671806,47.7272727272727,28.57142857142857,20.312500000000014,12.967032967032969,1.5686274509803935,17.695473251028798,24.999999999999996,1.0899182561307912,0.0,12.248628884826324,47.33044733044733
2024 (9),23.2,6.8181818181818095,23.2,13.675213675213666,19.889502762430926,18.575851393188838,61.363636363636346,27.61904761904762,23.437499999999993,0.0,0.0,0.0,43.748365158252675,0.0,0.0,12.065813528336383,52.66955266955268
