Player,Local (Votes),Young (IG),Female (Like),Intl (Score),Hardcore (PER),Gossip (Buzz),Brand (Salary),Comm (Good)
LeBron James,5,159.7,0.29,100,25.7,10,48.7,10
Luka Doncic,4.5,10.8,0.16,100,28.1,7,43,7
Anthony Davis,2.5,6.9,0.18,100,27,5,43.2,6
Deandre Ayton,0.5,0.7,0.05,60,20.5,6,34,5
Bronny James,1.5,7.6,0.08,20,5,10,1.2,6
Austin Reaves,1.8,1.5,0.15,10,15.2,4,12,8
D'Angelo Russell,0.8,3.7,0.18,10,16.5,6,18.7,6
Rui Hachimura,1,1,0.21,80,14.5,5,17,7
Jarred Vanderbilt,0.3,0.5,0.05,0,12,2,10.7,6
Dalton Knecht,0.2,0.35,0.09,0,13.5,3,3,5
