球员 (Player),身份,Local (死忠),Young (流量),Female (女性),Intl (国际),Hardcore (硬核),Gossip (八卦),Brand (商业),Comm (公益)
LeBron James,现役,0.4,0.4,0.4,0.4,0.3238,0.4,0.4,0.4
Luka Doncic,现役,0.42,0.15,0.22,0.32,0.35,0.18,0.32,0.12
Anthony Davis,现役,0.25,0.12,0.08,0.04,0.32,0.10,0.28,0.08
Deandre Ayton,现役,0.08,0.08,0.04,0.24,0.22,0.08,0.22,0.04
Bronny James,现役,0.15,0.13,0.18,0.06,0.05,0.32,0.05,0.08
Austin Reaves,现役,0.18,0.09,0.22,0.04,0.14,0.06,0.10,0.14
D'Angelo Russell,现役,0.10,0.10,0.10,0.04,0.16,0.12,0.12,0.08
Rui Hachimura,现役,0.12,0.06,0.12,0.26,0.14,0.08,0.12,0.12
Jarred Vanderbilt,现役,0.04,0.04,0.06,0.02,0.10,0.02,0.08,0.08
Dalton Knecht,现役,0.02,0.05,0.10,0.02,0.12,0.04,0.04,0.04
Kyrie Irving,候选,0.26,0.0450,0.09,0.09,0.26,0.28,0.24,0.18
Trae Young,候选,0.07,0.004,0.02,0.015,0.10,0.05,0.10,0.03
Zach LaVine,候选,0.05,0.003,0.08,0.02,0.10,0.05,0.14,0.03
Brandon Ingram,候选,0.06,0.015,0.06,0.40,0.24,0.05,0.16,0.38
Jerami Grant,候选,0.18,0.015,0.02,0.02,0.12,0.01,0.06,0.18
Victor Wembanyama,候选,0.1917,0.0371,0.30,0.38,0.30,0.32,0.10,0.16
LaMelo Ball,候选,0.08,0.60,0.35,0.05,0.45,0.30,0.20,0.25
Jimmy Butler,候选,0.10,0.0208,0.05,0.03,0.23,0.14,0.28,0.18
Klay Thompson,候选,0.24,0.018,0.08,0.03,0.14,0.04,0.12,0.12
Rudy Gobert,候选,0.014,0.0025,0.00,0.30,0.16,0.06,0.26,0.08
