Rank,Player_ID,Priority_Score,Delta_Reach_Avg,Hardcore_Score,Current_Roster_Value,Base_Win_Rate,Win_Rate_Boost,Projected_Win_Rate,Projected_Value_With_Player,Value_Increase,Increase_Percentage
1,LaMelo Ball,0.0027005244130517674,0.054219644033043565,0.45,597.7305733414921,0.57,0.07728599999999997,0.6472859999999999,647.7000059559653,33.969432614473135,8.359858913545128
2,Victor Wembanyama,0.0010780490727755345,0.03847718099474791,0.3,597.7305733414921,0.57,0.03228600000000004,0.602286,625.7503790410527,28.019805699560607,4.687698262265813
3,Kyrie Irving,0.0008742169045632827,0.029965276691315143,0.26,597.7305733414921,0.57,0.020286000000000026,0.590286,622.1553648731526,24.424791531660503,4.0862543461878875
4,Brandon Ingram,0.0007574147551120253,0.03162046275176131,0.24,597.7305733414921,0.57,0.014286000000000021,0.584286,615.2848460874864,17.55427274599424,2.9368202880874272
5,Jimmy Butler,0.0005357942776581879,0.021238445245804816,0.23,597.7305733414921,0.57,0.011286000000000018,0.581286,613.4894163319699,15.758842990477774,2.63644586596619
6,Rudy Gobert,0.000505983866111706,0.017829699476457447,0.16,597.7305733414921,0.57,-0.009714,0.560286,607.5391438397925,9.808570498300355,1.6409685125302393
7,Klay Thompson,0.0003699311993316009,0.015633149784823996,0.14,597.7305733414921,0.57,-0.015714000000000006,0.554286,605.4896575266345,7.759084185142342,1.2980905664180349
8,Jerami Grant,0.00028058361868488505,0.013003194079315494,0.12,597.7305733414921,0.57,-0.02171400000000001,0.5482859999999999,600.9450015147851,3.2144281732929585,0.5377720860626798
9,Zach LaVine,0.00020778660085725241,0.00903947097838903,0.1,597.7305733414921,0.57,-0.027714000000000016,0.5422859999999999,598.0590875399936,2.85141985014661,0.05496024683244388
10,Trae Young,0.00018207622055731865,0.007269729354706045,0.1,597.7305733414921,0.57,-0.027714000000000016,0.5422859999999999,597.4692285003072,2.613448411849504,-0.04372284986594458
