policy,V_value,frequency,probability
Baseline-Random,-0.4745357333767727,0,0.0
Baseline-Random,-0.4503187125215451,0,0.0
Baseline-Random,-0.4261016916663174,0,0.0
Baseline-Random,-0.4018846708110898,0,0.0
Baseline-Random,-0.3776676499558621,2,0.002
Baseline-Random,-0.3534506291006345,0,0.0
Baseline-Random,-0.3292336082454069,0,0.0
Baseline-Random,-0.30501658739017923,0,0.0
Baseline-Random,-0.2807995665349516,1,0.001
Baseline-Random,-0.25658254567972394,2,0.002
Baseline-Random,-0.2323655248244963,6,0.006
Baseline-Random,-0.20814850396926868,4,0.004
Baseline-Random,-0.18393148311404103,6,0.006
Baseline-Random,-0.1597144622588134,6,0.006
Baseline-Random,-0.13549744140358574,12,0.012
Baseline-Random,-0.1112804205483581,11,0.011
Baseline-Random,-0.08706339969313046,16,0.016
Baseline-Random,-0.06284637883790281,22,0.022
Baseline-Random,-0.038629357982675167,30,0.03
Baseline-Random,-0.014412337127447522,23,0.023
Baseline-Random,0.009804683727780122,21,0.021
Baseline-Random,0.03402170458300774,26,0.026
Baseline-Random,0.058238725438235384,21,0.021
Baseline-Random,0.08245574629346303,30,0.03
Baseline-Random,0.10667276714869067,31,0.031
Baseline-Random,0.13088978800391832,28,0.028
Baseline-Random,0.15510680885914596,40,0.04
Baseline-Random,0.1793238297143736,41,0.041
Baseline-Random,0.20354085056960125,41,0.041
Baseline-Random,0.2277578714248289,50,0.05
Baseline-Random,0.25197489228005654,54,0.054
Baseline-Random,0.2761919131352842,40,0.04
Baseline-Random,0.3004089339905118,63,0.063
Baseline-Random,0.3246259548457394,51,0.051
Baseline-Random,0.34884297570096706,62,0.062
Baseline-Random,0.3730599965561947,55,0.055
Baseline-Random,0.39727701741142235,44,0.044
Baseline-Random,0.42149403826665,51,0.051
Baseline-Random,0.44571105912187764,32,0.032
Baseline-Random,0.4699280799771053,31,0.031
Baseline-Random,0.49414510083233293,19,0.019
Baseline-Random,0.5183621216875606,13,0.013
Baseline-Random,0.5425791425427883,6,0.006
Baseline-Random,0.5667961633980159,7,0.007
Baseline-Random,0.5910131842532435,2,0.002
Baseline-Random,0.6152302051084712,0,0.0
Baseline-Random,0.6394472259636989,0,0.0
Baseline-Random,0.6636642468189264,0,0.0
Baseline-Random,0.6878812676741541,0,0.0
