policy,V_value,frequency,probability
Baseline-Random2,-0.38623228712001,0,0.0
Baseline-Random2,-0.3624477695276668,0,0.0
Baseline-Random2,-0.33866325193532354,0,0.0
Baseline-Random2,-0.3148787343429803,0,0.0
Baseline-Random2,-0.2910942167506371,2,0.002
Baseline-Random2,-0.2673096991582939,1,0.001
Baseline-Random2,-0.24352518156595065,4,0.004
Baseline-Random2,-0.21974066397360745,3,0.003
Baseline-Random2,-0.1959561463812642,3,0.003
Baseline-Random2,-0.172171628788921,10,0.01
Baseline-Random2,-0.14838711119657777,9,0.009
Baseline-Random2,-0.12460259360423454,8,0.008
Baseline-Random2,-0.1008180760118913,8,0.008
Baseline-Random2,-0.07703355841954809,19,0.019
Baseline-Random2,-0.053249040827204885,16,0.016
Baseline-Random2,-0.02946452323486165,17,0.017
Baseline-Random2,-0.005680005642518415,17,0.017
Baseline-Random2,0.01810451194982482,30,0.03
Baseline-Random2,0.04188902954216803,28,0.028
Baseline-Random2,0.06567354713451123,23,0.023
Baseline-Random2,0.08945806472685447,33,0.033
Baseline-Random2,0.1132425823191977,38,0.038
Baseline-Random2,0.13702709991154094,40,0.04
Baseline-Random2,0.16081161750388417,30,0.03
Baseline-Random2,0.1845961350962274,26,0.026
Baseline-Random2,0.20838065268857064,36,0.036
Baseline-Random2,0.23216517028091382,38,0.038
Baseline-Random2,0.255949687873257,51,0.051
Baseline-Random2,0.27973420546560024,51,0.051
Baseline-Random2,0.3035187230579435,49,0.049
Baseline-Random2,0.3273032406502867,74,0.074
Baseline-Random2,0.35108775824262994,63,0.063
Baseline-Random2,0.3748722758349732,43,0.043
Baseline-Random2,0.3986567934273164,56,0.056
Baseline-Random2,0.42244131101965965,46,0.046
Baseline-Random2,0.4462258286120029,32,0.032
Baseline-Random2,0.4700103462043461,40,0.04
Baseline-Random2,0.4937948637966893,21,0.021
Baseline-Random2,0.5175793813890325,14,0.014
Baseline-Random2,0.5413638989813757,9,0.009
Baseline-Random2,0.565148416573719,3,0.003
Baseline-Random2,0.5889329341660622,4,0.004
Baseline-Random2,0.6127174517584054,2,0.002
Baseline-Random2,0.6365019693507487,2,0.002
Baseline-Random2,0.6602864869430919,1,0.001
Baseline-Random2,0.6840710045354351,0,0.0
Baseline-Random2,0.7078555221277784,0,0.0
Baseline-Random2,0.7316400397201216,0,0.0
Baseline-Random2,0.7554245573124648,0,0.0
