policy,V_value,frequency,probability
MPC,-0.24977310263109526,0,0.0
MPC,-0.22637083586134982,0,0.0
MPC,-0.2029685690916044,0,0.0
MPC,-0.179566302321859,0,0.0
MPC,-0.15616403555211356,0,0.0
MPC,-0.13276176878236812,0,0.0
MPC,-0.10935950201262269,0,0.0
MPC,-0.08595723524287727,0,0.0
MPC,-0.06255496847313183,0,0.0
MPC,-0.0391527017033864,0,0.0
MPC,-0.015750434933640978,0,0.0
MPC,0.007651831836104461,0,0.0
MPC,0.0310540986058499,0,0.0
MPC,0.05445636537559531,0,0.0
MPC,0.07785863214534072,0,0.0
MPC,0.10126089891508616,0,0.0
MPC,0.1246631656848316,0,0.0
MPC,0.14806543245457704,0,0.0
MPC,0.17146769922432245,0,0.0
MPC,0.19486996599406786,0,0.0
MPC,0.2182722327638133,0,0.0
MPC,0.24167449953355874,0,0.0
MPC,0.2650767663033042,0,0.0
MPC,0.2884790330730496,0,0.0
MPC,0.31188129984279506,0,0.0
MPC,0.3352835666125405,0,0.0
MPC,0.3586858333822859,0,0.0
MPC,0.38208810015203126,0,0.0
MPC,0.4054903669217767,0,0.0
MPC,0.42889263369152214,0,0.0
MPC,0.4522949004612676,1,0.001
MPC,0.475697167231013,3,0.003
MPC,0.49909943400075846,1,0.001
MPC,0.522501700770504,18,0.018
MPC,0.5459039675402493,35,0.035
MPC,0.5693062343099948,57,0.057
MPC,0.5927085010797402,109,0.109
MPC,0.6161107678494856,158,0.158
MPC,0.639513034619231,177,0.177
MPC,0.6629153013889764,200,0.2
MPC,0.6863175681587219,118,0.118
MPC,0.7097198349284672,79,0.079
MPC,0.7331221016982127,30,0.03
MPC,0.7565243684679581,12,0.012
MPC,0.7799266352377036,2,0.002
MPC,0.803328902007449,0,0.0
MPC,0.8267311687771944,0,0.0
MPC,0.8501334355469399,0,0.0
MPC,0.8735357023166854,0,0.0
