policy,V_value,frequency,probability
MaxXL,-0.24977310263109526,0,0.0
MaxXL,-0.22637083586134982,0,0.0
MaxXL,-0.2029685690916044,0,0.0
MaxXL,-0.179566302321859,0,0.0
MaxXL,-0.15616403555211356,3,0.003
MaxXL,-0.13276176878236812,3,0.003
MaxXL,-0.10935950201262269,6,0.006
MaxXL,-0.08595723524287727,23,0.023
MaxXL,-0.06255496847313183,38,0.038
MaxXL,-0.0391527017033864,45,0.045
MaxXL,-0.015750434933640978,64,0.064
MaxXL,0.007651831836104461,74,0.074
MaxXL,0.0310540986058499,84,0.084
MaxXL,0.05445636537559531,89,0.089
MaxXL,0.07785863214534072,75,0.075
MaxXL,0.10126089891508616,92,0.092
MaxXL,0.1246631656848316,77,0.077
MaxXL,0.14806543245457704,73,0.073
MaxXL,0.17146769922432245,73,0.073
MaxXL,0.19486996599406786,83,0.083
MaxXL,0.2182722327638133,48,0.048
MaxXL,0.24167449953355874,29,0.029
MaxXL,0.2650767663033042,11,0.011
MaxXL,0.2884790330730496,10,0.01
MaxXL,0.31188129984279506,0,0.0
MaxXL,0.3352835666125405,0,0.0
MaxXL,0.3586858333822859,0,0.0
MaxXL,0.38208810015203126,0,0.0
MaxXL,0.4054903669217767,0,0.0
MaxXL,0.42889263369152214,0,0.0
MaxXL,0.4522949004612676,0,0.0
MaxXL,0.475697167231013,0,0.0
MaxXL,0.49909943400075846,0,0.0
MaxXL,0.522501700770504,0,0.0
MaxXL,0.5459039675402493,0,0.0
MaxXL,0.5693062343099948,0,0.0
MaxXL,0.5927085010797402,0,0.0
MaxXL,0.6161107678494856,0,0.0
MaxXL,0.639513034619231,0,0.0
MaxXL,0.6629153013889764,0,0.0
MaxXL,0.6863175681587219,0,0.0
MaxXL,0.7097198349284672,0,0.0
MaxXL,0.7331221016982127,0,0.0
MaxXL,0.7565243684679581,0,0.0
MaxXL,0.7799266352377036,0,0.0
MaxXL,0.803328902007449,0,0.0
MaxXL,0.8267311687771944,0,0.0
MaxXL,0.8501334355469399,0,0.0
MaxXL,0.8735357023166854,0,0.0
