policy,V_value,frequency,probability
Zero,-0.05172631034719044,0,0.0
Zero,-0.041542333118396446,0,0.0
Zero,-0.03135835588960245,0,0.0
Zero,-0.021174378660808447,0,0.0
Zero,-0.010990401432014445,0,0.0
Zero,-0.0008064242032204474,0,0.0
Zero,0.009377553025573554,0,0.0
Zero,0.019561530254367555,0,0.0
Zero,0.02974550748316155,0,0.0
Zero,0.03992948471195555,2,0.002
Zero,0.05011346194074955,0,0.0
Zero,0.060297439169543554,4,0.004
Zero,0.07048141639833755,3,0.003
Zero,0.08066539362713156,14,0.014
Zero,0.09084937085592557,15,0.015
Zero,0.10103334808471956,21,0.021
Zero,0.11121732531351355,30,0.03
Zero,0.12140130254230755,46,0.046
Zero,0.13158527977110157,49,0.049
Zero,0.14176925699989557,65,0.065
Zero,0.15195323422868956,84,0.084
Zero,0.16213721145748355,72,0.072
Zero,0.17232118868627755,77,0.077
Zero,0.18250516591507154,82,0.082
Zero,0.19268914314386554,66,0.066
Zero,0.20287312037265953,70,0.07
Zero,0.21305709760145355,73,0.073
Zero,0.22324107483024758,64,0.064
Zero,0.23342505205904157,38,0.038
Zero,0.24360902928783557,40,0.04
Zero,0.25379300651662956,31,0.031
Zero,0.26397698374542355,21,0.021
Zero,0.2741609609742175,8,0.008
Zero,0.28434493820301154,8,0.008
Zero,0.2945289154318055,6,0.006
Zero,0.30471289266059953,7,0.007
Zero,0.31489686988939347,0,0.0
Zero,0.3250808471181875,2,0.002
Zero,0.33526482434698157,1,0.001
Zero,0.3454488015757755,1,0.001
Zero,0.35563277880456956,0,0.0
Zero,0.3658167560333635,0,0.0
Zero,0.37600073326215755,0,0.0
Zero,0.3861847104909515,0,0.0
Zero,0.39636868771974554,0,0.0
Zero,0.4065526649485395,0,0.0
Zero,0.4167366421773335,0,0.0
Zero,0.42692061940612747,0,0.0
Zero,0.4371045966349215,0,0.0
