policy,season,W,P,C
Model(MPC),1,0.42346739130434785,0.5,1.0
Model(MPC),2,0.5964271739130435,0.4846934782608696,0.6636470984639296
Model(MPC),3,0.7174990217391304,0.5070402173913044,1.0843576031151867
Model(MPC),4,0.8022493152173913,0.5491319782608697,1.5685053147856287
Model(MPC),5,0.8615745206521739,0.5997554456521741,2.025608738517118
Baseline-Zero,1,0.42346739130434785,0.5,1.0
Baseline-Zero,2,0.23116511583246485,0.4237610591255673,0.9681393527630908
Baseline-Zero,3,0.16273709119136284,0.3451732327543444,1.3130222117613553
Baseline-Zero,4,0.1825274833599968,0.2740407294317913,1.5880772992443306
Baseline-Zero,5,0.05642928357299863,0.22605039464887408,1.843959329165178
Baseline-MaxXL,1,0.42346739130434785,0.5,1.0
Baseline-MaxXL,2,0.6063237647646285,0.503926409327856,0.5666607458823811
Baseline-MaxXL,3,0.7869356638167032,0.5770637915187179,-0.6283957098977337
Baseline-MaxXL,4,0.9455688877769296,0.5441304009524375,-1.594566062329936
Baseline-MaxXL,5,0.9613037784789857,0.553038719600489,-2.6836752127434123
Baseline-Random,1,0.42346739130434785,0.5,1.0
Baseline-Random,2,0.5161580841102016,0.4628222558457228,1.131390114481009
Baseline-Random,3,0.44999931749510036,0.5091558296413784,0.8436401658592161
Baseline-Random,4,0.43917292512387107,0.4669351897218256,0.49849185424847453
Baseline-Random,5,0.4666523496514574,0.4231544136358089,0.08729260212588486
Baseline-Random2,1,0.42346739130434785,0.5,1.0
Baseline-Random2,2,0.6230321357661381,0.5925284983543929,0.9515591156787793
Baseline-Random2,3,0.6621601777825095,0.5410516204332122,0.606939420708143
Baseline-Random2,4,0.6943607216858285,0.5335561871793472,-0.06965646552221016
Baseline-Random2,5,0.7655719892128591,0.5959920551307207,-0.6859098275282901
Baseline-Random3,1,0.42346739130434785,0.5,1.0
Baseline-Random3,2,0.4749832951090022,0.5428775031194152,1.1246400873783284
Baseline-Random3,3,0.49150813999632803,0.5190061487970943,0.8759085556045871
Baseline-Random3,4,0.5590394866416837,0.5024566245997618,0.5332935885116477
Baseline-Random3,5,0.5856745409868412,0.564237860578917,0.26640236056130495
